Protein Details,Gene Name,BCC count,BCC proportion,BCC mean,BCC std,BCC UNIQUE,SCC count,SCC proportion,SCC mean,SCC std,SCC UNIQUE,Proportion Direction,Fold Change,Log2 Fold Change,Fold Change Direction,Proportion STAT,Proportion Pvalue,BH-corrected Proportion Pvalue,Proportion Rank,StudentT STAT,StudentT Pvalue,BH-corrected StudentT Pvalue,StudentT Rank,MannWhitneyU STAT,MannWhitneyU Pvalue,BH-corrected MannWhitneyU Pvalue,MannWhitneyU Rank,Minimal Pvalue,BH-corrected Minimal Pvalue,is 5% Significant?,Minimal Rank
P15924 (gene DSP):  Desmoplakin,DSP,38,1.0,132088821.05263157,102166757.61021695,False,33,1.0,167052787.87878788,137018491.6026892,False,0.0,0.7907010875417017,-0.33879568593231885,-1.0,0.0,1.0,1.0,5330.0,-1.21081386632547,0.23009781082321348,0.5681968292099717,2416.0,544.0,0.34154986479769756,0.6044753762631455,3364.5,0.23009781082321348,1.0,False,2416.0
"P08779 (gene KRT16):  Keratin, type I cytoskeletal 16",KRT16,38,1.0,598706755.2631578,682032353.7073956,False,33,1.0,1192987636.3636363,1066093835.0903099,False,0.0,0.5018549539105741,-0.9946576381032767,-1.0,0.0,1.0,1.0,5330.0,-2.7927642135146344,0.0067569100257733735,0.2139763412867198,188.0,396.0,0.007876080783295965,0.08004888918763838,586.5,0.0067569100257733735,0.1883781733137787,False,188.0
P68104;Q5VTE0 (gene EEF1A1;EEF1A1P5):  Elongation factor 1-alpha 1; Putative elongation factor 1-alpha-like 3,EEF1A1;EEF1A1P5,38,1.0,663308157.8947369,505035538.64974517,False,33,1.0,641310060.6060606,390431340.10770625,False,0.0,1.0343018122433418,0.048657229648711144,1.0,0.0,1.0,1.0,5330.0,0.20014059622897556,0.8419593333321858,0.9497314015238835,5289.0,600.0,0.7599798707237732,0.911914704090513,4964.5,0.7599798707237732,1.0,False,4964.5
P31947 (gene SFN):  14-3-3 protein sigma,SFN,38,1.0,693324342.1052631,605798430.7096092,False,33,1.0,1525398484.8484848,1115526444.4256155,False,0.0,0.45452014604179275,-1.1375838533822762,-1.0,0.0,1.0,1.0,5330.0,-3.9163540218370096,0.00020863880380325546,0.09574916180694015,13.0,329.0,0.0006041356359399199,0.018389149000089602,196.0,0.00020863880380325546,0.02538832667016952,True,13.0
P51884 (gene LUM):  Lumican,LUM,38,1.0,1260708736.8421052,1254653888.4481182,False,33,1.0,645919406.060606,999027032.4317423,False,0.0,1.9518050162496778,0.9648089360257469,1.0,0.0,1.0,1.0,5330.0,2.228459288910445,0.029110958986595648,0.3248652754048508,534.0,908.0,0.0012216988565329156,0.02717750480485267,267.5,0.0012216988565329156,0.07097814361655697,False,267.5
P06733 (gene ENO1):  Alpha-enolase,ENO1,38,1.0,715019736.8421053,589321348.8880187,False,33,1.0,906833030.3030303,668327066.3492985,False,0.0,0.7884800320993725,-0.34285387500915304,-1.0,0.0,1.0,1.0,5330.0,-1.2668680614193102,0.20946206280157278,0.5483145133476186,2278.0,517.0,0.20681247922981794,0.4656012268245637,2647.5,0.20681247922981794,1.0,False,2278.0
P07585 (gene DCN):  Decorin,DCN,38,1.0,1052298736.8421053,1183871881.3860126,False,33,1.0,559291894.8484849,1088514623.2304318,False,0.0,1.8814839738150984,0.9118710008084241,1.0,0.0,1.0,1.0,5330.0,1.7908378483548888,0.07770542837643495,0.4233441190758606,1094.0,923.0,0.0006575486575446679,0.019362254960669078,202.0,0.0006575486575446679,0.04883321938893969,True,202.0
P11142 (gene HSPA8):  Heat shock cognate 71 kDa protein,HSPA8,38,1.0,408187894.7368421,311682782.22845924,False,33,1.0,402287636.3636364,253713463.61102742,False,0.0,1.0146667653685268,0.02100599845868324,1.0,0.0,1.0,1.0,5330.0,0.08541047569103553,0.9321824136415772,0.9913173253749985,5609.0,595.0,0.7164927659199594,0.886293975011088,4816.5,0.7164927659199594,1.0,False,4816.5
P12111 (gene COL6A3):  Collagen alpha-3(VI) chain,COL6A3,38,1.0,92319447.36842105,75125424.05789672,False,33,1.0,71067562.12121212,104652377.60751793,False,0.0,1.29903776931254,0.37744337752001517,1.0,0.0,1.0,1.0,5330.0,0.9776277877869745,0.3316737040680887,0.63279990996809,3127.0,872.0,0.00482130878701813,0.05980026657661157,479.5,0.00482130878701813,0.15739035427830558,False,479.5
P14618 (gene PKM):  Pyruvate kinase PKM,PKM,38,1.0,357950789.4736842,236951902.8852811,False,33,1.0,619251000.0,413448479.1560913,False,0.0,0.5780382905698718,-0.7907630315981533,-1.0,0.0,1.0,1.0,5330.0,-3.2714921017214205,0.0016721331334681744,0.13835477666552023,72.0,403.0,0.009976684071032482,0.09000185414973612,660.5,0.0016721331334681744,0.08359731514752343,False,72.0
P01876 (gene IGHA1):  Immunoglobulin heavy constant alpha 1,IGHA1,38,1.0,429912921.05263156,579494651.2700974,False,33,1.0,636251242.4242424,651016859.8239466,False,0.0,0.6756967882916474,-0.5655520971402848,-1.0,0.0,1.0,1.0,5330.0,-1.3927903591414166,0.16815484896684912,0.5198596873597516,1926.0,489.0,0.11292567500646429,0.3418135855345337,1966.0,0.11292567500646429,0.8133375176119508,False,1926.0
P14923 (gene JUP):  Junction plakoglobin,JUP,38,1.0,162372552.63157895,156929954.2616483,False,33,1.0,194164848.4848485,164132678.6628356,False,0.0,0.8362613207212362,-0.2579742588040103,-1.0,0.0,1.0,1.0,5330.0,-0.8215891477791857,0.41414062445649247,0.6906931506240604,3576.0,529.0,0.260997752367053,0.5312564280524866,2927.0,0.260997752367053,1.0,False,2927.0
P62937 (gene PPIA):  Peptidyl-prolyl cis-trans isomerase A,PPIA,38,1.0,1159015789.4736843,998336691.0586079,False,33,1.0,1129359090.909091,732862097.980752,False,0.0,1.0262597598968455,0.03739594233226322,1.0,0.0,1.0,1.0,5330.0,0.13884782359721276,0.8899748519814996,0.9749246101285013,5446.0,598.0,0.7424849824604745,0.9005215298554972,4914.5,0.7424849824604745,1.0,False,4914.5
P63104 (gene YWHAZ):  14-3-3 protein zeta/delta,YWHAZ,38,1.0,870599210.5263158,531876640.1218157,False,33,1.0,1386823333.3333333,1102175841.1231647,False,0.0,0.627765043752015,-0.6717033982541878,-1.0,0.0,1.0,1.0,5330.0,-2.5274816096124253,0.013782926128925885,0.2621058255188253,313.0,479.0,0.08904354637591694,0.30618662690416165,1733.5,0.013782926128925885,0.2761819403523096,False,313.0
P01834 (gene IGKC):  Immunoglobulin kappa constant,IGKC,38,1.0,2099088157.8947368,1822958078.6196103,False,33,1.0,2443247272.7272725,1915523821.2882829,False,0.0,0.8591386477029117,-0.21903712276409226,-1.0,0.0,1.0,1.0,5330.0,-0.7638955796304077,0.4475337891221093,0.7142875995065018,3737.0,568.0,0.5000433126245314,0.7367889363096948,4044.0,0.4475337891221093,1.0,False,3737.0
P47929 (gene LGALS7B):  Galectin-7,LGALS7B,38,1.0,1729833868.4210527,1493946937.4642985,False,33,1.0,1871908787.878788,1571258073.767753,False,0.0,0.9241015799606707,-0.1138766492517925,-1.0,0.0,1.0,1.0,5330.0,-0.38462458029270785,0.7016985158577187,0.8725163288051584,4798.0,601.0,0.7687742199118759,0.9176684665854844,4993.5,0.7016985158577187,1.0,False,4798.0
P0DOY2 (gene IGLC2):  Immunoglobulin lambda constant 2,IGLC2,38,1.0,1046721315.7894737,1321068306.2585752,False,33,1.0,1228603818.1818182,1159987769.170041,False,0.0,0.8519600055764852,-0.23114238874467125,-1.0,0.0,1.0,1.0,5330.0,-0.6034170133055887,0.5482098417011865,0.7803912945810734,4191.0,540.0,0.3186569172303274,0.5833968990531947,3255.5,0.3186569172303274,1.0,False,3255.5
P68363 (gene TUBA1B):  Tubulin alpha-1B chain,TUBA1B,38,1.0,581960000.0,394585539.2553986,False,33,1.0,582722545.4545455,401796448.8599044,False,0.0,0.9986914090410701,-0.0018891340085997752,-1.0,0.0,1.0,1.0,5330.0,-0.007938684574228267,0.9936888209041075,1.0,5847.0,632.0,0.9586254381552106,0.9991543263511506,5716.5,0.9586254381552106,1.0,False,5330.0
P04075 (gene ALDOA):  Fructose-bisphosphate aldolase A,ALDOA,38,1.0,462916315.7894737,406460036.72544193,False,33,1.0,503387878.7878788,394500678.4195693,False,0.0,0.9196016338417632,-0.12091906561539792,-1.0,0.0,1.0,1.0,5330.0,-0.4181953864267245,0.6771029656005545,0.859149225571272,4701.0,584.0,0.6241590820707603,0.8243055092627006,4511.5,0.6241590820707603,1.0,False,4511.5
P31151 (gene S100A7):  Protein S100-A7,S100A7,38,1.0,752750921.0526316,1027250928.4696494,False,33,1.0,1570022575.7575758,1406589312.5550623,False,0.0,0.4794522911171578,-1.0605408308286755,-1.0,0.0,1.0,1.0,5330.0,-2.7791484719547093,0.007016396056996293,0.2157722622476283,194.0,386.0,0.005560664683809844,0.06608550897133371,501.5,0.005560664683809844,0.17159444226004927,False,194.0
P02545 (gene LMNA):  Prelamin-A/C,LMNA,38,1.0,590688421.0526316,352350359.1860799,False,33,1.0,373285363.6363636,250105019.19536972,False,0.0,1.5824044513785165,0.6621183895847108,1.0,0.0,1.0,1.0,5330.0,2.9142854613187406,0.004802413756919378,0.20001690856201337,143.0,832.0,0.018393824293868734,0.12864895162628473,851.0,0.004802413756919378,0.15739035427830558,False,143.0
P20930 (gene FLG):  Filaggrin,FLG,38,1.0,180789182.89473686,274332816.7948613,False,33,1.0,187376498.78787878,240106406.8409417,False,0.0,0.9648444925817504,-0.05163165806082554,-1.0,0.0,1.0,1.0,5330.0,-0.10537652201128614,0.9163827848244421,0.986136205178826,5543.0,638.0,0.9036514073723857,0.9854009105365884,5465.0,0.9036514073723857,1.0,False,5330.0
P04792 (gene HSPB1):  Heat shock protein beta-1,HSPB1,38,1.0,803510000.0,612756761.6925986,False,33,1.0,1100155787.878788,861328046.119119,False,0.0,0.7303601988489722,-0.4533199474290889,-1.0,0.0,1.0,1.0,5330.0,-1.6635878560351285,0.1007306252213756,0.4483773383065027,1338.0,497.0,0.13545017488034927,0.36833134131258644,2191.5,0.1007306252213756,0.7721533104744435,False,1338.0
P68371 (gene TUBB4B):  Tubulin beta-4B chain,TUBB4B,38,1.0,623038421.0526316,468556724.9854449,False,33,1.0,610581727.2727273,434812049.36088246,False,0.0,1.020401353698453,0.029136717981629,1.0,0.0,1.0,1.0,5330.0,0.11387857448815025,0.9096647577987187,0.9819178478427999,5527.0,636.0,0.9219379452036464,0.9862438194522062,5570.5,0.9096647577987187,1.0,False,5330.0
Q01469 (gene FABP5):  Fatty acid-binding protein 5,FABP5,38,1.0,962396447.3684211,1025515592.9058754,False,33,1.0,2407423636.3636365,2622743546.717327,False,0.0,0.3997619832386877,-1.322786814402739,-1.0,0.0,1.0,1.0,5330.0,-3.0874076826681542,0.0029070826840021033,0.16209023638090234,107.0,347.0,0.0012719407943121604,0.027898524922302752,272.0,0.0012719407943121604,0.07207665037421403,False,107.0
P13639 (gene EEF2):  Elongation factor 2,EEF2,38,1.0,154698315.78947368,126298998.84090954,False,33,1.0,169170666.66666666,116107939.3165835,False,0.0,0.9144511802054303,-0.12902194400092412,-1.0,0.0,1.0,1.0,5330.0,-0.4928057821719794,0.6237144570703272,0.8260534637746773,4504.0,574.0,0.5450127945650461,0.7675982843189484,4232.0,0.5450127945650461,1.0,False,4232.0
Q6UWP8 (gene SBSN):  Suprabasin,SBSN,37,0.9736842105263158,321024505.2631579,331387405.1622106,False,33,1.0,280230581.5151515,319890956.3591794,False,-1.0,1.145572704904085,0.19606902361508521,1.0,-0.9385238769840499,0.3479752523115307,0.7082271297964247,2886.5,0.5182831649567105,0.6059187630208592,0.815323735904998,4433.0,687.0,0.49274452735210217,0.7321827771314176,4011.5,0.3479752523115307,1.0,False,2886.5
Q15149 (gene PLEC):  Plectin,PLEC,38,1.0,53799755.2631579,39552506.60544855,False,33,1.0,54487151.515151516,57779956.52570357,False,0.0,0.9873842505456822,-0.018316461597752107,-1.0,0.0,1.0,1.0,5330.0,-0.0582659307942207,0.9537052181822341,0.9984148291465916,5698.0,664.0,0.6739062688008323,0.8616641233745745,4661.5,0.6739062688008323,1.0,False,4661.5
"P06576 (gene ATP5F1B):  ATP synthase subunit beta, mitochondrial",ATP5F1B,38,1.0,235292973.68421054,240706790.7578022,False,33,1.0,185480333.33333334,148404574.508165,False,0.0,1.268560226605566,0.343192014918265,1.0,0.0,1.0,1.0,5330.0,1.0161576188254626,0.3131042768460235,0.6153390899055424,3035.0,682.0,0.5298026473350219,0.7565348477742319,4176.0,0.3131042768460235,1.0,False,3035.0
P21333 (gene FLNA):  Filamin-A,FLNA,38,1.0,204324447.36842105,237448065.0075426,False,33,1.0,114863493.93939394,87569637.77350569,False,0.0,1.778845831350282,0.8309414808218325,1.0,0.0,1.0,1.0,5330.0,2.0177820257087133,0.04750462768052851,0.37599224770789963,751.0,798.0,0.04934229841179006,0.2267921050267639,1295.5,0.04750462768052851,0.5485405330490963,False,751.0
Q9NZT1 (gene CALML5):  Calmodulin-like protein 5,CALML5,38,1.0,678279318.4210526,767527695.650305,False,33,1.0,1144170000.0,1085394898.1947315,False,0.0,0.5928134092145853,-0.7543500136596246,-1.0,0.0,1.0,1.0,5330.0,-2.077930132388119,0.041438385146361216,0.3647053408277444,675.0,437.0,0.02891342934960217,0.16634283461882987,1034.5,0.02891342934960217,0.418344833063201,False,675.0
P07900 (gene HSP90AA1):  Heat shock protein HSP 90-alpha,HSP90AA1,38,1.0,237629684.21052632,177770230.64443034,False,33,1.0,241319303.03030303,207066666.88722974,False,0.0,0.984710635355538,-0.02222825485558322,-1.0,0.0,1.0,1.0,5330.0,-0.07963834760832421,0.9367554193818746,0.9930140071130533,5628.0,634.0,0.9402658451828672,0.9949673700533851,5632.0,0.9367554193818746,1.0,False,5330.0
P27482 (gene CALML3):  Calmodulin-like protein 3,CALML3,38,1.0,496426184.2105263,687663519.6329998,False,33,1.0,556377090.9090909,554628323.1347225,False,0.0,0.8922477081135587,-0.16448380441015015,-1.0,0.0,1.0,1.0,5330.0,-0.39466339826167085,0.6943086129139013,0.8678493996740699,4773.0,517.0,0.20681247922981794,0.4656012268245637,2647.5,0.20681247922981794,1.0,False,2647.5
P01009 (gene SERPINA1):  Alpha-1-antitrypsin,SERPINA1,38,1.0,649700263.1578947,490924890.30232704,False,33,1.0,732601757.5757576,795205525.0643386,False,0.0,0.8868396184412771,-0.17325487266136705,-1.0,0.0,1.0,1.0,5330.0,-0.5281515820478766,0.5990886931421566,0.8107183732472476,4408.0,702.0,0.39040739086176446,0.6435778817426813,3614.0,0.39040739086176446,1.0,False,3614.0
P29401 (gene TKT):  Transketolase,TKT,38,1.0,170902657.89473686,185013682.98819584,False,33,1.0,151306151.5151515,119842550.56332245,False,0.0,1.1295155959182654,0.17570419104848486,1.0,0.0,1.0,1.0,5330.0,0.5135240428145879,0.6092252983230751,0.8175406062260712,4445.0,633.0,0.9494422865175749,0.9976059224439826,5665.5,0.6092252983230751,1.0,False,4445.0
O43707 (gene ACTN4):  Alpha-actinin-4,ACTN4,38,1.0,208712526.31578946,153322020.04394075,False,33,1.0,169986818.1818182,128488943.84235756,False,0.0,1.2278159480139745,0.2960943141378096,1.0,0.0,1.0,1.0,5330.0,1.1273242045738934,0.2635104765232485,0.5934705560353721,2649.0,756.0,0.138494206408301,0.37303018668982074,2209.0,0.138494206408301,0.8691336978596675,False,2209.0
P84243 (gene H3-3B):  Histone H3.3,H3-3B,36,0.9473684210526315,2605779986.8421054,1715998683.8550136,False,27,0.8181818181818182,1720965527.2727273,1692316798.3837297,False,1.0,1.5141383982115972,0.5984970793580653,1.0,1.717038971544261,0.08597205159953429,0.45270014107927764,1127.0,2.1499804394656876,0.03506429227275973,0.346644937939768,603.0,830.0,0.019481753130446,0.13220910586222842,878.0,0.019481753130446,0.3403517215053869,False,603.0
P10412 (gene H1-4):  Histone H1.4,H1-4,38,1.0,1219983289.4736843,765301882.0737518,False,33,1.0,802552245.4545455,744793885.0670116,False,0.0,1.5201294325489239,0.6041941682389477,1.0,0.0,1.0,1.0,5330.0,2.2880751887954536,0.02520167870902319,0.3093687555103546,486.0,854.0,0.0090219279626557,0.08505436651258295,631.5,0.0090219279626557,0.21975271021414286,False,486.0
P69905 (gene HBA2):  Hemoglobin subunit alpha,HBA2,38,1.0,1639903473.6842105,1905587976.671377,False,33,1.0,1605289000.0,2281748244.658667,False,0.0,1.0215627676288876,0.030777849949659396,1.0,0.0,1.0,1.0,5330.0,0.06865342993113897,0.9454640555239533,0.9956996567088976,5665.0,625.0,0.9862029803738575,1.0,5811.0,0.9454640555239533,1.0,False,5330.0
P20774 (gene OGN):  Mimecan,OGN,38,1.0,308235340.2631579,373090175.747977,False,33,1.0,160624690.33333334,360490709.9689641,False,0.0,1.9189785805874329,0.9403386084312874,1.0,0.0,1.0,1.0,5330.0,1.6650454662163365,0.1004383892287611,0.4483773383065027,1334.0,869.5,0.005271807161195659,0.06353858893675415,495.0,0.005271807161195659,0.1649559520473425,False,495.0
Q93077 (gene H2AC6):  Histone H2A type 1-C,H2AC6,38,1.0,1221438368.4210527,1011714992.7502315,False,32,0.9696969696969697,863357018.1818181,860496766.2159996,False,1.0,1.4147546642909472,0.5005518938358253,1.0,1.080724464405876,0.27981969731159884,0.640140972833773,2460.5,1.5707938068559368,0.12080527696269067,0.47106162245713235,1530.0,765.0,0.11292567500646429,0.3418135855345337,1966.0,0.11292567500646429,0.8133375176119508,False,1530.0
