Protein Details,Gene Name,SCC count,SCC proportion,SCC mean,SCC std,SCC UNIQUE,Keratosis count,Keratosis proportion,Keratosis mean,Keratosis std,Keratosis UNIQUE,Proportion Direction,Fold Change,Log2 Fold Change,Fold Change Direction,Proportion STAT,Proportion Pvalue,BH-corrected Proportion Pvalue,Proportion Rank,StudentT STAT,StudentT Pvalue,BH-corrected StudentT Pvalue,StudentT Rank,MannWhitneyU STAT,MannWhitneyU Pvalue,BH-corrected MannWhitneyU Pvalue,MannWhitneyU Rank,Minimal Pvalue,BH-corrected Minimal Pvalue,is 5% Significant?,Minimal Rank
P05109 (gene S100A8):  Protein S100-A8,S100A8,21,1.0,3069962697.095238,3116717692.0053883,False,7,1.0,180345672.85714287,335266920.6701476,False,0.0,17.022657923858418,4.089384412415831,1.0,0.0,1.0,1.0,5543.0,2.3591933944397248,0.026106637860652614,0.7309836941303514,9.0,123.0,0.006998074389378737,0.28462281343527285,92.5,0.006998074389378737,0.46166484044465556,False,9.0
Q09666 (gene AHNAK):  Neuroblast differentiation-associated protein AHNAK,AHNAK,21,1.0,17706836.450476192,25279359.809370007,False,7,1.0,2483647.4200000004,3858501.8979878095,False,0.0,7.129368004444472,2.833774192059672,1.0,0.0,1.0,1.0,5543.0,1.5293836657616082,0.13824596242947423,0.7309836941303514,520.0,112.0,0.04182628965237661,0.28462281343527285,837.5,0.04182628965237661,0.6643166262602261,False,520.0
P08670 (gene VIM):  Vimentin,VIM,21,1.0,381979824.47619045,667213023.8516233,False,7,1.0,310443782.14285713,656910525.7877975,False,0.0,1.230431551373167,0.2991644032319358,1.0,0.0,1.0,1.0,5543.0,0.23763896996711303,0.8140238196772739,0.9474182809587625,5126.0,92.0,0.34776865646430866,0.5633417877996376,3682.0,0.34776865646430866,1.0,False,3682.0
P35579 (gene MYH9):  Myosin-9,MYH9,21,1.0,74289316.86190476,109836976.10204346,False,7,1.0,76753251.18571427,180107214.73946062,False,0.0,0.9678979810529631,-0.04707310315752133,-1.0,0.0,1.0,1.0,5543.0,-0.04153229941449327,0.9671888450157525,1.0,5328.0,106.0,0.08987534204925508,0.30677201705705925,1690.5,0.08987534204925508,0.7808683844648386,False,1690.5
P04406 (gene GAPDH):  Glyceraldehyde-3-phosphate dehydrogenase,GAPDH,21,1.0,769261102.0476191,724889142.7574998,False,7,1.0,401417674.4285714,782565775.1918535,False,0.0,1.9163608158078254,0.938369219826064,1.0,0.0,1.0,1.0,5543.0,1.0979361078587375,0.2822965923776863,0.7309836941303514,1878.0,107.0,0.0798098037228472,0.3022013092271871,1558.5,0.0798098037228472,0.724716833988911,False,1558.5
P02461 (gene COL3A1):  Collagen alpha-1(III) chain,COL3A1,19,0.9047619047619048,1408830.8904761905,1837432.1764375546,False,5,0.7142857142857143,239650.11428571428,417956.1183229901,False,1.0,5.878699013640709,2.55549691454459,1.0,1.2472191289246468,0.21231716077296503,0.4602776821117403,2578.5,1.6084730360601949,0.11980864173094986,0.7309836941303514,380.0,114.0,0.03357473291096339,0.28462281343527285,665.5,0.03357473291096339,0.6378971429490139,False,380.0
P68871 (gene HBB):  Hemoglobin subunit beta,HBB,21,1.0,8140823695.952381,13158213037.175055,False,7,1.0,1349798630.0,2274711162.21871,False,0.0,6.031139397402097,2.592430580516561,1.0,0.0,1.0,1.0,5543.0,1.309310426412429,0.201882614641857,0.7309836941303514,1088.0,110.0,0.054749839532448226,0.28691229439538496,1097.0,0.054749839532448226,0.6772029218740555,False,1088.0
P23527 (gene H2BC17):  Histone H2B type 1-O,H2BC17,13,0.6190476190476191,125132861.90476191,216094614.1253596,False,4,0.5714285714285714,10385039.42857143,18814412.22456503,False,1.0,12.049339125327057,3.5908821154704262,1.0,0.22340741581309542,0.8232184331927038,0.9630041514564063,5069.5,1.3521011779077103,0.18798807934335654,0.7309836941303514,963.0,94.0,0.27370115664878847,0.5010436025058828,3257.0,0.18798807934335654,1.0,False,963.0
P02787 (gene TF):  Serotransferrin,TF,21,1.0,1489854404.2476192,1855597233.056901,False,7,1.0,412592555.14285713,666297396.3723583,False,0.0,3.610958040025139,1.8523816560109054,1.0,0.0,1.0,1.0,5543.0,1.4492944870946547,0.1592107260373728,0.7309836941303514,707.0,111.0,0.04794601533731968,0.28462281343527285,1002.0,0.04794601533731968,0.6643166262602261,False,707.0
P15924 (gene DSP):  Desmoplakin,DSP,21,1.0,48036177.104761906,71697776.16521536,False,7,1.0,20890658.228571426,24190464.71142436,False,0.0,2.2994094575278727,1.2012633906957684,1.0,0.0,1.0,1.0,5543.0,0.947462319362179,0.35212678059630964,0.7309836941303514,2569.0,97.0,0.22815107597716294,0.4549582405087829,2888.5,0.22815107597716294,1.0,False,2569.0
"P08779 (gene KRT16):  Keratin, type I cytoskeletal 16",KRT16,21,1.0,624570423.1904762,1095373741.067786,False,7,1.0,292329895.0,539603615.2708703,False,0.0,2.1365260066558505,1.0952668781915367,1.0,0.0,1.0,1.0,5543.0,0.743799490542123,0.46366708779343047,0.7309836941303514,3566.0,105.0,0.10088848349717913,0.31300088015817507,1920.0,0.10088848349717913,0.8321710365494179,False,1920.0
P68104;Q5VTE0 (gene EEF1A1;EEF1A1P5):  Elongation factor 1-alpha 1; Putative elongation factor 1-alpha-like 3,EEF1A1;EEF1A1P5,21,1.0,378113886.47619045,451244498.70185983,False,6,0.8571428571428571,123942620.0,254214784.3891025,False,1.0,3.0507172308943233,1.6091484635966116,1.0,1.7638342073763948,0.07775989643932928,0.3034110805474426,1156.5,1.3656339748699822,0.1837527406902224,0.7309836941303514,928.0,115.0,0.02712577277794669,0.28462281343527285,495.5,0.02712577277794669,0.6023536987341065,False,495.5
P31947 (gene SFN):  14-3-3 protein sigma,SFN,21,1.0,552314745.7142857,706515385.8345958,False,7,1.0,604569095.2857143,1421006002.460833,False,0.0,0.9135676137286931,-0.1304165872921008,-1.0,0.0,1.0,1.0,5543.0,-0.1230464255207182,0.9030165737537262,1.0,5250.0,112.0,0.04182628965237661,0.28462281343527285,837.5,0.04182628965237661,0.6643166262602261,False,837.5
P51884 (gene LUM):  Lumican,LUM,21,1.0,105548186.8095238,170662435.383081,False,7,1.0,23334461.42857143,37163965.68478912,False,0.0,4.523275033906841,2.1773677204862354,1.0,0.0,1.0,1.0,5543.0,1.2185896529937288,0.233941957530428,0.7309836941303514,1408.0,98.0,0.2080808080808081,0.4413118027053327,2812.5,0.2080808080808081,1.0,False,1408.0
P06733 (gene ENO1):  Alpha-enolase,ENO1,21,1.0,994305264.5714285,1087519904.339914,False,6,0.8571428571428571,258712243.14285713,508076207.72735107,False,1.0,3.843286473390375,1.9423405169513477,1.0,1.7638342073763948,0.07775989643932928,0.3034110805474426,1156.5,1.6649715548391972,0.10792498928630992,0.7309836941303514,307.0,112.0,0.04182628965237661,0.28462281343527285,837.5,0.04182628965237661,0.6643166262602261,False,307.0
P07585 (gene DCN):  Decorin,DCN,19,0.9047619047619048,27562550.933333334,64994089.26603039,False,6,0.8571428571428571,1527583.857142857,1840931.535209935,False,1.0,18.043232654256627,4.173385932175721,1.0,0.3527668414752792,0.7242632442784083,0.8798522735420455,4825.5,1.0211317623717955,0.31659997878611945,0.7309836941303514,2211.0,110.0,0.05599745072933618,0.28691229439538496,1126.5,0.05599745072933618,0.6804089430778405,False,1126.5
P11142 (gene HSPA8):  Heat shock cognate 71 kDa protein,HSPA8,20,0.9523809523809523,291501911.85238093,378167728.17657304,False,7,1.0,136331210.8285714,299864816.5210608,False,-1.0,2.13818912104379,1.0963894638746974,1.0,-0.5879447357921321,0.5565693876824565,0.726743919219422,4134.0,0.9511821329181487,0.35027108618893765,0.7309836941303514,2548.0,110.0,0.054749839532448226,0.28691229439538496,1097.0,0.054749839532448226,0.6772029218740555,False,1097.0
P12111 (gene COL6A3):  Collagen alpha-3(VI) chain,COL6A3,21,1.0,4965794.208095239,8290736.497723593,False,7,1.0,232937.2285714286,224185.71602415273,False,0.0,21.31816471986226,4.414011336759197,1.0,0.0,1.0,1.0,5543.0,1.4552380046230469,0.15757194588194048,0.7309836941303514,693.0,115.0,0.02712577277794669,0.28462281343527285,495.5,0.02712577277794669,0.6023536987341065,False,495.5
P14618 (gene PKM):  Pyruvate kinase PKM,PKM,21,1.0,381910122.9047619,401831914.57979167,False,7,1.0,239682473.20000002,503616039.47080874,False,0.0,1.5934002925031578,0.6721087448692709,1.0,0.0,1.0,1.0,5543.0,0.731076175524563,0.4712703406200526,0.7309836941303514,3626.0,107.0,0.0798098037228472,0.3022013092271871,1558.5,0.0798098037228472,0.724716833988911,False,1558.5
P01876 (gene IGHA1):  Immunoglobulin heavy constant alpha 1,IGHA1,21,1.0,1462523083.4285715,2275281579.5237303,False,5,0.7142857142857143,514891341.71428573,1001078677.4347037,False,1.0,2.840449945340362,1.5061194799042623,1.0,2.54195563720897,0.011023416388221447,0.17774514100575461,359.0,1.0291594910094866,0.31288428515260913,0.7309836941303514,2182.0,111.0,0.049607414715866244,0.2853981062631225,1037.0,0.011023416388221447,0.4859534643260779,False,359.0
P14923 (gene JUP):  Junction plakoglobin,JUP,21,1.0,42118199.809523806,58082266.6252813,False,7,1.0,27087925.14285714,30190964.374645866,False,0.0,1.5548699129740644,0.6367938834054827,1.0,0.0,1.0,1.0,5543.0,0.631908610532448,0.5329640801609987,0.7309836941303514,4024.0,89.0,0.4349312523225567,0.6249492077820437,3881.0,0.4349312523225567,1.0,False,3881.0
P62937 (gene PPIA):  Peptidyl-prolyl cis-trans isomerase A,PPIA,21,1.0,1132352070.1904762,1388679877.210588,False,7,1.0,140247983.7142857,237157256.2541367,False,0.0,8.073927625920845,3.0132706546666936,1.0,0.0,1.0,1.0,5543.0,1.8126372688547263,0.08145122992633458,0.7309836941303514,123.0,120.0,0.012075605553866423,0.28462281343527285,182.5,0.012075605553866423,0.5074049706423797,False,123.0
P63104 (gene YWHAZ):  14-3-3 protein zeta/delta,YWHAZ,21,1.0,707868182.9142858,998409007.4417953,False,7,1.0,619454537.4285715,1417425256.2861462,False,0.0,1.1427282232086453,0.19248232599226597,1.0,0.0,1.0,1.0,5543.0,0.17461071273792061,0.8627381146763533,0.9903974585643878,5197.0,109.0,0.06229688186209925,0.28691229439538496,1240.0,0.06229688186209925,0.7151832612904004,False,1240.0
P01834 (gene IGKC):  Immunoglobulin kappa constant,IGKC,21,1.0,3252200140.5238094,3181702401.040145,False,7,1.0,1534930395.7142856,2433284866.2236567,False,0.0,2.1187932362303528,1.0832428082766776,1.0,0.0,1.0,1.0,5543.0,1.2588064365063183,0.21928596151523874,0.7309836941303514,1247.0,106.0,0.08987534204925508,0.30677201705705925,1690.5,0.08987534204925508,0.7808683844648386,False,1247.0
P47929 (gene LGALS7B):  Galectin-7,LGALS7B,21,1.0,650065029.5238096,910556683.6180376,False,7,1.0,325120764.4285714,693401413.793957,False,0.0,1.999457126850555,0.9996083466428041,1.0,0.0,1.0,1.0,5543.0,0.8328821539233494,0.4124969493237175,0.7309836941303514,3068.0,108.0,0.07063105976149454,0.2877464298513018,1450.0,0.07063105976149454,0.7151832612904004,False,1450.0
P0DOY2 (gene IGLC2):  Immunoglobulin lambda constant 2,IGLC2,21,1.0,1347522649.5238094,1704917733.293247,False,7,1.0,447907384.0,781670752.6531383,False,0.0,3.0084850075251413,1.5890371672636872,1.0,0.0,1.0,1.0,5543.0,1.3004821085901723,0.20484556647951546,0.7309836941303514,1122.0,110.0,0.054749839532448226,0.28691229439538496,1097.0,0.054749839532448226,0.6772029218740555,False,1097.0
P68363 (gene TUBA1B):  Tubulin alpha-1B chain,TUBA1B,21,1.0,298303187.5714286,394439399.7990507,False,7,1.0,173370242.0,393265494.86273855,False,0.0,1.7206135501121747,0.7829231043841659,1.0,0.0,1.0,1.0,5543.0,0.6998530975830902,0.4902340792000409,0.7309836941303514,3754.0,109.0,0.06229688186209925,0.28691229439538496,1240.0,0.06229688186209925,0.7151832612904004,False,1240.0
P04075 (gene ALDOA):  Fructose-bisphosphate aldolase A,ALDOA,20,0.9523809523809523,554047284.0952381,644455035.6596398,False,6,0.8571428571428571,217701734.2857143,395365444.62555623,False,1.0,2.5449833273633797,1.3476562049811436,1.0,0.8473185457363234,0.39681759221478274,0.6057865289542973,3696.5,1.2542540472052568,0.22090912802448037,0.7309836941303514,1264.0,106.5,0.08460862755397106,0.30677201705705925,1631.5,0.08460862755397106,0.7511533809330229,False,1264.0
P31151 (gene S100A7):  Protein S100-A7,S100A7,21,1.0,1814842664.4285715,2523956224.201478,False,7,1.0,283427950.0,405759813.3301144,False,0.0,6.403188762535822,2.67879054045848,1.0,0.0,1.0,1.0,5543.0,1.5402987872245175,0.13557120724887295,0.7309836941303514,488.0,117.0,0.019899665551839463,0.28462281343527285,329.5,0.019899665551839463,0.5446919577923337,False,329.5
P02545 (gene LMNA):  Prelamin-A/C,LMNA,21,1.0,66112503.91904762,122469175.59017217,False,7,1.0,18263236.52857143,29043073.584733576,False,0.0,3.619977423805253,1.8559806998869979,1.0,0.0,1.0,1.0,5543.0,0.9868978500625575,0.33278845583996497,0.7309836941303514,2375.0,106.0,0.08987534204925508,0.30677201705705925,1690.5,0.08987534204925508,0.7808683844648386,False,1690.5
P20930 (gene FLG):  Filaggrin,FLG,21,1.0,24593378.46190476,37557588.584959984,False,7,1.0,15684086.12857143,22071432.15449064,False,0.0,1.5680466340402108,0.6489684661483364,1.0,0.0,1.0,1.0,5543.0,0.5727191641499546,0.5717548963003368,0.7309836941303514,4256.0,94.0,0.29603560690517217,0.5307810807947029,3318.5,0.29603560690517217,1.0,False,3318.5
P04792 (gene HSPB1):  Heat shock protein beta-1,HSPB1,21,1.0,1504810450.0,2056983888.4454508,False,7,1.0,768362797.2857143,1779333798.768323,False,0.0,1.958463443721934,0.9697221994894308,1.0,0.0,1.0,1.0,5543.0,0.8166075467106765,0.4215722525523241,0.7309836941303514,3180.0,112.0,0.04182628965237661,0.28462281343527285,837.5,0.04182628965237661,0.6643166262602261,False,837.5
P68371 (gene TUBB4B):  Tubulin beta-4B chain,TUBB4B,21,1.0,223130528.81428573,330992957.19613457,False,6,0.8571428571428571,153207431.7142857,350464816.40290725,False,1.0,1.456394943232239,0.5424016367036093,1.0,1.7638342073763948,0.07775989643932928,0.3034110805474426,1156.5,0.4595276851021144,0.649674571800539,0.7980149259547077,4857.0,108.0,0.07063105976149454,0.2877464298513018,1450.0,0.07063105976149454,0.7151832612904004,False,1156.5
Q01469 (gene FABP5):  Fatty acid-binding protein 5,FABP5,21,1.0,2485412937.6190476,2487495576.277308,False,7,1.0,510147072.85714287,973147562.4172666,False,0.0,4.871953736202337,2.284500433558621,1.0,0.0,1.0,1.0,5543.0,1.9747636852320527,0.0590039181447371,0.7309836941303514,46.0,120.0,0.012075605553866423,0.28462281343527285,182.5,0.012075605553866423,0.5074049706423797,False,46.0
P13639 (gene EEF2):  Elongation factor 2,EEF2,20,0.9523809523809523,43448738.28571428,59525581.6016239,False,7,1.0,35677720.4,80754722.08650582,False,-1.0,1.2178115024891856,0.2842908446816149,1.0,-0.5879447357921321,0.5565693876824565,0.726743919219422,4134.0,0.26202808045157205,0.7953646331803972,0.9310300457309326,5096.0,104.0,0.11288469984122157,0.33303295044441783,2016.0,0.11288469984122157,0.8426134890762379,False,2016.0
Q6UWP8 (gene SBSN):  Suprabasin,SBSN,20,0.9523809523809523,120496535.42857143,280196932.2954868,False,7,1.0,58047519.571428575,121605843.2104119,False,-1.0,2.075825742739896,1.0536853403062412,1.0,-0.5879447357921321,0.5565693876824565,0.726743919219422,4134.0,0.551183293569639,0.5862139814639986,0.7415930053889347,4716.0,101.0,0.15527515962298571,0.37811085808601336,2446.0,0.15527515962298571,0.9827138638374109,False,2446.0
Q15149 (gene PLEC):  Plectin,PLEC,21,1.0,6505770.766666667,9885684.43141191,False,7,1.0,3185330.6428571427,5663124.383707625,False,0.0,2.042416155840309,1.0302768548526313,1.0,0.0,1.0,1.0,5543.0,0.8130242007988069,0.423586992509726,0.7309836941303514,3206.0,101.0,0.15527515962298571,0.37811085808601336,2446.0,0.15527515962298571,0.9827138638374109,False,2446.0
"P06576 (gene ATP5F1B):  ATP synthase subunit beta, mitochondrial",ATP5F1B,21,1.0,46591546.952380955,59495971.90634554,False,6,0.8571428571428571,11732886.857142856,21339716.970057808,False,1.0,3.9710215840027936,1.9895102024763742,1.0,1.7638342073763948,0.07775989643932928,0.3034110805474426,1156.5,1.4627230239708007,0.15552740945197252,0.7309836941303514,675.0,109.0,0.06229688186209925,0.28691229439538496,1240.0,0.06229688186209925,0.7151832612904004,False,675.0
P21333 (gene FLNA):  Filamin-A,FLNA,20,0.9523809523809523,29782136.633333333,34018549.23279648,False,6,0.8571428571428571,37500809.41428571,88574476.70421849,False,1.0,0.7941731684859904,-0.3324744753320907,-1.0,0.8473185457363234,0.39681759221478274,0.6057865289542973,3696.5,-0.3203981495292517,0.7512273855770844,0.8894269859799336,5039.0,106.5,0.08460862755397106,0.30677201705705925,1631.5,0.08460862755397106,0.7511533809330229,False,1631.5
Q9NZT1 (gene CALML5):  Calmodulin-like protein 5,CALML5,21,1.0,689801522.3809524,633956425.0055441,False,7,1.0,297588137.4285714,565172318.0906845,False,0.0,2.3179738558850302,1.2128642944730634,1.0,0.0,1.0,1.0,5543.0,1.4024501202317563,0.17260879658760012,0.7309836941303514,818.0,111.0,0.04794601533731968,0.28462281343527285,1002.0,0.04794601533731968,0.6643166262602261,False,818.0
P07900 (gene HSP90AA1):  Heat shock protein HSP 90-alpha,HSP90AA1,21,1.0,108349477.69999999,170833869.32185417,False,5,0.7142857142857143,123810893.8,294047759.05524486,False,1.0,0.8751207133277243,-0.1924460602195302,-1.0,2.54195563720897,0.011023416388221447,0.17774514100575461,359.0,-0.16367075579639617,0.8712559836542957,0.9980632101539032,5208.0,105.0,0.09997904123729792,0.3123198082470575,1908.0,0.011023416388221447,0.4859534643260779,False,359.0
P27482 (gene CALML3):  Calmodulin-like protein 3,CALML3,20,0.9523809523809523,232458708.23809522,341552403.69707566,False,7,1.0,181714056.42857143,380538608.13381314,False,-1.0,1.2792555116916302,0.3553044492346472,1.0,-0.5879447357921321,0.5565693876824565,0.726743919219422,4134.0,0.31856632226569187,0.7526004100024453,0.8905224208795297,5042.0,107.0,0.0798098037228472,0.3022013092271871,1558.5,0.0798098037228472,0.724716833988911,False,1558.5
P01009 (gene SERPINA1):  Alpha-1-antitrypsin,SERPINA1,20,0.9523809523809523,1773311179.047619,1968053100.077591,False,7,1.0,900083712.0,2021487381.9850943,False,-1.0,1.9701625031157293,0.9783146310878825,1.0,-0.5879447357921321,0.5565693876824565,0.726743919219422,4134.0,0.9729944715664549,0.33952199381617787,0.7309836941303514,2438.0,105.0,0.10088848349717913,0.31300088015817507,1920.0,0.10088848349717913,0.8321710365494179,False,1920.0
P29401 (gene TKT):  Transketolase,TKT,19,0.9047619047619048,129753742.43333332,163190471.85679963,False,5,0.7142857142857143,37366174.32857143,57429370.38498245,False,1.0,3.47249202694309,1.7959713816932423,1.0,1.2472191289246468,0.21231716077296503,0.4602776821117403,2578.5,1.4144620630779488,0.16909082942979123,0.7309836941303514,791.0,105.0,0.09956105570639524,0.3123198082470575,1893.5,0.09956105570639524,0.8321710365494179,False,791.0
O43707 (gene ACTN4):  Alpha-actinin-4,ACTN4,20,0.9523809523809523,46583992.78095238,67210231.57542095,False,6,0.8571428571428571,63273462.0,144150030.5252021,False,1.0,0.7362327160311165,-0.44176623458791564,-1.0,0.8473185457363234,0.39681759221478274,0.6057865289542973,3696.5,-0.3977565881645321,0.6940566497264067,0.8382068769772757,4940.0,101.5,0.14450057901123115,0.3625275249709861,2377.5,0.14450057901123115,0.9826258978506897,False,2377.5
P84243 (gene H3-3B):  Histone H3.3,H3-3B,16,0.7619047619047619,116328692.85714285,183260510.45406604,False,5,0.7142857142857143,8332918.0,12444070.17055365,False,1.0,13.96013891617905,3.803241392644488,1.0,0.25197631533948456,0.8010593708697098,0.9488028998627532,5025.5,1.501277785227523,0.14533171238470996,0.7309836941303514,576.0,97.0,0.21879322585252592,0.4549582405087829,2844.0,0.14533171238470996,0.9827138638374109,False,576.0
P10412 (gene H1-4):  Histone H1.4,H1-4,21,1.0,41656032.14285714,59028629.31491507,False,7,1.0,3308543.4285714286,5252505.998018384,False,0.0,12.590444418265019,3.6542573031794814,1.0,0.0,1.0,1.0,5543.0,1.654087764767364,0.11013428881532566,0.7309836941303514,321.0,108.0,0.07063105976149454,0.2877464298513018,1450.0,0.07063105976149454,0.7151832612904004,False,321.0
P69905 (gene HBA2):  Hemoglobin subunit alpha,HBA2,21,1.0,10659533430.952381,13169069075.311295,False,7,1.0,4393949850.057143,8341699388.905205,False,0.0,2.4259570078647466,1.2785539836447732,1.0,0.0,1.0,1.0,5543.0,1.1392143098211216,0.2650012964913199,0.7309836941303514,1712.0,112.0,0.04182628965237661,0.28462281343527285,837.5,0.04182628965237661,0.6643166262602261,False,837.5
