Protein Details,Gene Name,BCC count,BCC proportion,BCC mean,BCC std,BCC UNIQUE,Keratosis count,Keratosis proportion,Keratosis mean,Keratosis std,Keratosis UNIQUE,Proportion Direction,Fold Change,Log2 Fold Change,Fold Change Direction,Proportion STAT,Proportion Pvalue,BH-corrected Proportion Pvalue,Proportion Rank,StudentT STAT,StudentT Pvalue,BH-corrected StudentT Pvalue,StudentT Rank,MannWhitneyU STAT,MannWhitneyU Pvalue,BH-corrected MannWhitneyU Pvalue,MannWhitneyU Rank,Minimal Pvalue,BH-corrected Minimal Pvalue,is 5% Significant?,Minimal Rank
P35579 (gene MYH9):  Myosin-9,MYH9,60,1.0,34186002.291666664,83697251.8170302,False,20,0.9523809523809523,25584417.06190476,60341068.62776814,False,1.0,1.3362040733211915,0.41814036191738135,1.0,1.7008401285415204,0.08897301170181368,0.16454215369281477,3224.0,0.42781363210317097,0.669950798181151,0.7838647699448416,5099.0,942.0,0.0007878180402884863,0.00688523697034918,681.0,0.0007878180402884863,0.014572934635753343,True,681.0
P04406 (gene GAPDH):  Glyceraldehyde-3-phosphate dehydrogenase,GAPDH,60,1.0,248412776.05,448461549.3050807,False,20,0.9523809523809523,133805891.47619048,274627851.57558566,False,1.0,1.8565159822891724,0.892597735052649,1.0,1.7008401285415204,0.08897301170181368,0.16454215369281477,3224.0,1.0873927884619705,0.28016978305658463,0.4869466866639893,3432.0,909.0,0.0026874284342233096,0.013344001462415914,1201.0,0.0026874284342233096,0.03319502699498192,True,1201.0
P02461 (gene COL3A1):  Collagen alpha-1(III) chain,COL3A1,49,0.8166666666666667,3030579.1333333333,10427557.76059413,False,8,0.38095238095238093,79883.37142857144,245838.76108875597,False,1.0,37.93754668961638,5.245554481776909,1.0,3.7634533113973485,0.00016758302594222765,0.0023036874026989176,430.0,1.2805020353155279,0.20411551064053468,0.4204948675695545,2896.0,1019.5,2.1589842933963152e-05,0.0020445238562543516,63.0,2.1589842933963152e-05,0.0024302830744155506,True,63.0
P68871 (gene HBB):  Hemoglobin subunit beta,HBB,60,1.0,3627101810.0,5332064024.681905,False,21,1.0,449932876.6666667,1361163725.5733297,False,0.0,8.06142871103668,3.0110355473966663,1.0,0.0,1.0,1.0,5693.5,2.6664193732962245,0.009295217483811302,0.3236688001045334,98.0,1002.0,6.236985509560123e-05,0.002840446988552343,130.5,6.236985509560123e-05,0.004045788412068616,True,98.0
P23527 (gene H2BC17):  Histone H2B type 1-O,H2BC17,48,0.8,223220650.83333334,491562249.79390264,False,10,0.47619047619047616,3461679.8095238097,9381332.887509204,False,1.0,64.48333269274121,6.010854403502637,1.0,2.832301518411707,0.004621424741570447,0.018116951292614415,1516.5,2.0231174368930223,0.046443643522725966,0.3275853316010761,835.0,1000.0,5.6156242204856807e-05,0.0028392215338489467,118.0,5.6156242204856807e-05,0.004004320410288953,True,118.0
P02787 (gene TF):  Serotransferrin,TF,58,0.9666666666666667,469295469.1,630935508.6021366,False,19,0.9047619047619048,137530851.7142857,270814952.1299265,False,1.0,3.4122923202347155,1.7707412430478708,1.0,1.1268769129742762,0.259794525797825,0.375559520453071,4119.0,2.3065159995919378,0.02370295691889852,0.3236688001045334,398.0,965.0,0.00031201528386259745,0.004931031853618015,377.0,0.00031201528386259745,0.008631297605212935,True,377.0
P15924 (gene DSP):  Desmoplakin,DSP,60,1.0,12790586.47,17122087.913666584,False,21,1.0,6963552.742857142,9031277.602687275,False,0.0,1.8367903485929786,0.87718696651124,1.0,0.0,1.0,1.0,5693.5,1.4702585620751387,0.14546344300756134,0.3823061237811061,2270.0,850.0,0.01800309579860551,0.04954172949007401,2168.0,0.01800309579860551,0.13693982516083356,False,2168.0
"P08779 (gene KRT16):  Keratin, type I cytoskeletal 16",KRT16,60,1.0,79793148.5,131167887.33578587,False,21,1.0,97443298.33333333,206646045.73297277,False,0.0,0.8188674836010102,-0.2882980938392799,-1.0,0.0,1.0,1.0,5693.5,-0.44548427024860154,0.6571882308735939,0.7712008232478091,5084.0,792.0,0.08177342329916111,0.15416940244765742,3096.0,0.08177342329916111,0.43391068194734234,False,3096.0
P68104;Q5VTE0 (gene EEF1A1;EEF1A1P5):  Elongation factor 1-alpha 1; Putative elongation factor 1-alpha-like 3,EEF1A1;EEF1A1P5,59,0.9833333333333333,160003124.48333332,240922123.97452497,False,15,0.7142857142857143,41314206.666666664,86521959.26043542,False,1.0,3.8728354576495834,1.9533902079307626,1.0,3.776522314810762,0.00015903331757238906,0.0023036874026989176,381.0,2.1808550940375886,0.03216909191415454,0.3236688001045334,569.0,977.0,0.00018740485497546945,0.004234946441138909,257.0,0.00015903331757238906,0.006158934288119077,True,257.0
P31947 (gene SFN):  14-3-3 protein sigma,SFN,57,0.95,115988224.31666666,206671749.63023436,False,16,0.7619047619047619,201523031.76190478,480510575.13242143,False,1.0,0.575558154830182,-0.7969663881696119,-1.0,2.486561238056818,0.012898436844684549,0.03924124131330343,1960.0,-1.1014033331790598,0.27406560568950034,0.4818966706582844,3393.0,906.5,0.0029216119365913953,0.013866616399128293,1257.0,0.0029216119365913953,0.03495388398470106,True,1257.0
P51884 (gene LUM):  Lumican,LUM,60,1.0,29899603.3,41160527.14995257,False,18,0.8571428571428571,7778153.80952381,13324400.360176483,False,1.0,3.844048862004524,1.9426266744372596,1.0,2.9834709485930806,0.0028499909024986975,0.013089334660744594,1296.0,2.3888642290963444,0.01928577363892995,0.3236688001045334,296.0,967.0,0.0002872366436051482,0.004760149488189762,359.5,0.0002872366436051482,0.008318707843438418,True,296.0
P06733 (gene ENO1):  Alpha-enolase,ENO1,59,0.9833333333333333,270914230.43333334,395871578.47155964,False,16,0.7619047619047619,86237414.38095239,175201193.74555755,False,1.0,3.141492963095704,1.6514503484690881,1.0,3.3346878200429586,0.0008539520924084634,0.00586944491164619,866.5,2.0423984815726466,0.04444815703963188,0.3275853316010761,800.0,946.5,0.0006587163488829784,0.006495705351133636,605.0,0.0006587163488829784,0.013343238477563238,True,605.0
P07585 (gene DCN):  Decorin,DCN,55,0.9166666666666666,7857766.783333333,17019318.471935716,False,12,0.5714285714285714,509194.61904761905,928307.1413824033,False,1.0,15.431755343398583,3.9478302709360356,1.0,3.6011820325662995,0.00031677367809217433,0.0033213914999963307,566.5,1.953059564832856,0.054353651935707264,0.32876782735916926,981.0,1000.5,6.393987358459489e-05,0.0028467558642215904,134.0,6.393987358459489e-05,0.004045788412068616,True,134.0
P11142 (gene HSPA8):  Heat shock cognate 71 kDa protein,HSPA8,58,0.9666666666666667,95928385.01666667,126942439.40845978,False,19,0.9047619047619048,45443736.94285714,104589816.23879793,False,1.0,2.1109264217704835,1.0778762931347077,1.0,1.1268769129742762,0.259794525797825,0.375559520453071,4119.0,1.6178725279341708,0.1096761711409512,0.3569183217142014,1832.0,968.0,0.00027535339418850203,0.0047279114787194005,334.0,0.00027535339418850203,0.00821386733314314,True,334.0
P12111 (gene COL6A3):  Collagen alpha-3(VI) chain,COL6A3,56,0.9333333333333333,1498707.6683333332,2265418.546063599,False,19,0.9047619047619048,77645.74285714286,109910.53729281295,False,1.0,19.30186528154468,4.270668367375694,1.0,0.43028229936038187,0.6669903014233658,0.763774306773858,5200.0,2.837699552853221,0.005772227107848143,0.3236688001045334,45.0,964.0,0.00032458549353801244,0.0049836385683744745,386.0,0.00032458549353801244,0.008798134536911757,True,45.0
P14618 (gene PKM):  Pyruvate kinase PKM,PKM,58,0.9666666666666667,89313521.66666667,145729736.47088644,False,16,0.7619047619047619,79894157.73333333,170290099.8833858,False,1.0,1.1178980316029077,0.16078859962130723,1.0,2.874167425431201,0.004050941564129907,0.017043665283215135,1413.5,0.24061870267317698,0.8104739940745476,0.9224064784029737,5242.0,897.0,0.0040661654350227895,0.01698791525584451,1428.0,0.004050941564129907,0.04464516755837266,True,1413.5
P01876 (gene IGHA1):  Immunoglobulin heavy constant alpha 1,IGHA1,56,0.9333333333333333,292402051.03333336,379046026.6187227,False,14,0.6666666666666666,171630447.23809522,358349237.1824985,False,1.0,1.7036723712995712,0.7686479213928357,1.0,3.0700903155207904,0.0021399404904243434,0.011169628141619975,1140.5,1.2584926000834593,0.21192022764354143,0.4264135170729741,2965.0,923.0,0.001598396747252389,0.01006973072239467,947.0,0.001598396747252389,0.023630857977546407,True,947.0
P14923 (gene JUP):  Junction plakoglobin,JUP,59,0.9833333333333333,13076964.133333333,16070787.421778796,False,20,0.9523809523809523,9029308.38095238,11177838.732376412,False,1.0,1.4482797110926198,0.5343402618378268,1.0,0.7866712896136168,0.43147431503939515,0.5401124136645054,4732.5,1.0540963854159802,0.29505204802785207,0.4972543837667134,3540.0,790.5,0.08464618984645769,0.1580592077070318,3195.0,0.08464618984645769,0.4469019191362537,False,3195.0
P62937 (gene PPIA):  Peptidyl-prolyl cis-trans isomerase A,PPIA,60,1.0,305310224.53333336,396492625.4110147,False,16,0.7619047619047619,46749327.9047619,87845356.7505075,False,1.0,6.530793879118588,2.7072583755162873,1.0,3.901994862858539,9.540318286042797e-05,0.001860433080634283,300.0,2.92623637633157,0.00447819552500577,0.3236688001045334,27.0,998.0,7.463661715854555e-05,0.0030325965645947184,146.0,7.463661715854555e-05,0.004291209872105285,True,27.0
P63104 (gene YWHAZ):  14-3-3 protein zeta/delta,YWHAZ,58,0.9666666666666667,196424708.51666668,291410026.87333226,False,16,0.7619047619047619,206484845.80952382,477706934.6317336,False,1.0,0.9512790526906837,-0.07205948473874924,-1.0,2.874167425431201,0.004050941564129907,0.017043665283215135,1413.5,-0.11215473593638489,0.9109852058762045,1.0,5335.0,918.0,0.0019393171785784121,0.01122751902697117,1030.0,0.0019393171785784121,0.026308118447289263,True,1030.0
P01834 (gene IGKC):  Immunoglobulin kappa constant,IGKC,60,1.0,936047067.3333334,1186518919.0758967,False,15,0.7142857142857143,511643465.2380952,1001681203.3960106,False,1.0,1.8294909071060617,0.8714422452448645,1.0,4.302822993603817,1.686355719600996e-05,0.0008113546954144792,121.5,1.448192222347833,0.1515206478646194,0.3859868684569965,2341.0,940.0,0.0008494885472711001,0.007178539196911308,705.5,1.686355719600996e-05,0.002203094501417418,True,121.5
P47929 (gene LGALS7B):  Galectin-7,LGALS7B,57,0.95,156036259.5,261360762.71631378,False,18,0.8571428571428571,108373588.14285715,234916565.86178806,False,1.0,1.4397996981913423,0.5258681210246384,1.0,1.3984174729212406,0.16198773916168885,0.2628995788462016,3666.5,0.7286959348926552,0.4683423821768855,0.6276124555407231,4452.0,885.5,0.005983547230731584,0.022131334642619113,1613.0,0.005983547230731584,0.05880534933767027,False,1613.0
P0DOY2 (gene IGLC2):  Immunoglobulin lambda constant 2,IGLC2,59,0.9833333333333333,383264131.5,523554797.42639315,False,16,0.7619047619047619,149302461.33333334,313090723.76044333,False,1.0,2.567031568517281,1.3601010378156637,1.0,3.3346878200429586,0.0008539520924084634,0.00586944491164619,866.5,1.9065801895185968,0.060211085692881854,0.3313831524388682,1084.0,974.5,0.0002088816897797939,0.004372590039390352,285.0,0.0002088816897797939,0.007107537041214355,True,285.0
P68363 (gene TUBA1B):  Tubulin alpha-1B chain,TUBA1B,59,0.9833333333333333,121819235.98333333,169051030.6589603,False,16,0.7619047619047619,57790080.666666664,132155336.28084281,False,1.0,2.107960995693792,1.0758481725539988,1.0,3.3346878200429586,0.0008539520924084634,0.00586944491164619,866.5,1.555786391991475,0.12375616242351653,0.3642472940398123,2027.0,959.5,0.00039062443621160634,0.005228541983362805,435.0,0.00039062443621160634,0.009576246642191791,True,435.0
P04075 (gene ALDOA):  Fructose-bisphosphate aldolase A,ALDOA,57,0.95,120542409.25,181139867.2707021,False,14,0.6666666666666666,72567244.76190476,142041552.41165012,False,1.0,1.6611132149980543,0.7321504051184662,1.0,3.3970057237696762,0.0006812754193326785,0.005119123712348144,787.0,1.0873183217929652,0.280202476586905,0.4869466866639893,3433.0,921.5,0.0016950432673861963,0.010304400469673234,981.0,0.0006812754193326785,0.013384706317471217,True,787.0
P31151 (gene S100A7):  Protein S100-A7,S100A7,60,1.0,189109319.25,239806165.55181256,False,18,0.8571428571428571,94475983.33333333,175862273.50646892,False,1.0,2.001665529987406,1.0012009259514694,1.0,2.9834709485930806,0.0028499909024986975,0.013089334660744594,1296.0,1.6383773093265697,0.1053200381314698,0.3543933149985047,1773.0,867.0,0.010808768853330052,0.03395740651867672,1899.0,0.0028499909024986975,0.03421135960625197,True,1296.0
P02545 (gene LMNA):  Prelamin-A/C,LMNA,59,0.9833333333333333,31667094.7,59408540.53659845,False,21,1.0,6087745.50952381,10628333.748838304,False,-1.0,5.201777020812394,2.3790045580923462,1.0,-0.5952940449895334,0.5516469358068603,0.6444342312558704,4865.0,1.9377703334977983,0.05622457465295117,0.32876782735916926,1018.0,963.0,0.00033920654312111947,0.005072870529168059,398.0,0.00033920654312111947,0.009007594523415126,True,398.0
P20930 (gene FLG):  Filaggrin,FLG,60,1.0,7574121.15,11718044.324250143,False,19,0.9047619047619048,5228028.70952381,7812818.591509387,False,1.0,1.4487527844292256,0.5348114340209621,1.0,2.4205270449649747,0.015498026409008075,0.04349069875641683,2120.0,0.8428869835454667,0.4018364183785079,0.5845489011824048,4099.0,810.0,0.053053545019319595,0.11160699914854044,2836.0,0.015498026409008075,0.11987194324478244,False,2120.0
P04792 (gene HSPB1):  Heat shock protein beta-1,HSPB1,57,0.95,216638448.16666666,351704251.0304834,False,21,1.0,256120932.42857143,643576687.4497707,False,-1.0,0.8458443677854532,-0.24153585764046856,-1.0,-1.0442148320075788,0.2963860062553333,0.40453875848074117,4200.0,-0.3447318865054464,0.7312120190978139,0.844610049552286,5165.0,894.0,0.00451408111761618,0.018221250302908075,1478.0,0.00451408111761618,0.04721976846469573,True,1478.0
P68371 (gene TUBB4B):  Tubulin beta-4B chain,TUBB4B,59,0.9833333333333333,106728192.08500001,181923779.85581517,False,13,0.6190476190476191,51069143.9047619,120565663.33824076,False,1.0,2.0898762721386865,1.0634175323273132,1.0,4.571749430704054,4.836690989724642e-06,0.0004654144910435034,60.5,1.2890696313466063,0.20113569708518392,0.4188396400733707,2865.0,964.0,0.00032243897385107864,0.0049836385683744745,385.0,4.836690989724642e-06,0.0012730455196189945,True,60.5
Q01469 (gene FABP5):  Fatty acid-binding protein 5,FABP5,60,1.0,271462643.43333334,457528291.00131714,False,20,0.9523809523809523,170049024.2857143,365949679.0057839,False,1.0,1.5963787182761102,0.6748029511616647,1.0,1.7008401285415204,0.08897301170181368,0.16454215369281477,3224.0,0.90674285699059,0.3673002544741787,0.5558887159292111,3942.0,847.0,0.019636422858360276,0.05329886204412075,2198.0,0.019636422858360276,0.14455656785045584,False,2198.0
P13639 (gene EEF2):  Elongation factor 2,EEF2,56,0.9333333333333333,17693173.533333335,31775930.659007136,False,18,0.8571428571428571,11892573.466666667,27006899.16232795,False,1.0,1.4877497778696518,0.5731319023986474,1.0,1.0694576466720753,0.28486350355816437,0.40453875848074117,4187.5,0.7380912039406425,0.46264598201300533,0.6229171583591943,4431.0,927.0,0.0013915634524658098,0.009262347979635446,896.0,0.0013915634524658098,0.021413211695188134,True,896.0
Q6UWP8 (gene SBSN):  Suprabasin,SBSN,56,0.9333333333333333,19435023.633333333,39762201.97420995,False,17,0.8095238095238095,19349173.19047619,41482112.7157545,False,1.0,1.0044369049783686,0.006386942136173656,1.0,1.6367238528981587,0.10168818264838808,0.17787283880503077,3406.0,0.008315080290725571,0.9933865644158614,1.0,5428.0,819.0,0.042110027135802655,0.0937069831750088,2681.0,0.042110027135802655,0.26416408784014744,False,2681.0
Q15149 (gene PLEC):  Plectin,PLEC,59,0.9833333333333333,2357528.0,5214616.73986071,False,17,0.8095238095238095,1061776.880952381,2230022.9745245962,False,1.0,2.2203610215011933,1.1507942718833084,1.0,2.848456249886732,0.004393189318577968,0.017466040521395283,1467.5,1.0902025769131174,0.2789381151172566,0.486268760770314,3421.0,896.0,0.0042148163033886915,0.017352958524629758,1448.0,0.0042148163033886915,0.04585822626021325,True,1448.0
"P06576 (gene ATP5F1B):  ATP synthase subunit beta, mitochondrial",ATP5F1B,56,0.9333333333333333,18327315.666666668,31631394.65746276,False,15,0.7142857142857143,3910962.285714286,9303556.296757802,False,1.0,4.686139708789019,2.2283999661883565,1.0,2.626256525939582,0.008632972883393755,0.028268011098972083,1821.0,2.0320786706404883,0.04550683893952611,0.3275853316010761,817.0,968.0,0.0002719663248208015,0.0047279114787194005,331.0,0.0002719663248208015,0.00821386733314314,True,331.0
P21333 (gene FLNA):  Filamin-A,FLNA,58,0.9666666666666667,18787253.695,36366449.29439797,False,16,0.7619047619047619,12500269.804761903,30016091.879671104,False,1.0,1.5029478554008173,0.5877949559877031,1.0,2.874167425431201,0.004050941564129907,0.017043665283215135,1413.5,0.7030481767896335,0.4840924620828869,0.6408329749566392,4506.0,966.0,0.0002982310491512082,0.004817038095228997,369.0,0.0002982310491512082,0.008432447579318048,True,369.0
Q9NZT1 (gene CALML5):  Calmodulin-like protein 5,CALML5,60,1.0,136849434.33333334,169972583.5199856,False,19,0.9047619047619048,99196045.8095238,207151657.12579003,False,1.0,1.3795855794101932,0.4642349537271959,1.0,2.4205270449649747,0.015498026409008075,0.04349069875641683,2120.0,0.8132123373027738,0.41854047363030056,0.5907292324765492,4227.0,909.0,0.0026872788652968875,0.013344001462415914,1200.0,0.0026872788652968875,0.03319502699498192,True,1200.0
P07900 (gene HSP90AA1):  Heat shock protein HSP 90-alpha,HSP90AA1,58,0.9666666666666667,41610378.80333333,78800740.86508416,False,14,0.6666666666666666,41270297.93333333,98653982.43556453,False,1.0,1.008240329898959,0.011839568824653007,1.0,3.76497011940334,0.00016656900008981545,0.0023036874026989176,400.5,0.01569518158473948,0.987517141798451,1.0,5424.0,943.0,0.0007514070836586459,0.00688523697034918,647.0,0.00016656900008981545,0.006158934288119077,True,400.5
P27482 (gene CALML3):  Calmodulin-like protein 3,CALML3,59,0.9833333333333333,40138038.833333336,51786059.88805536,False,18,0.8571428571428571,60571352.14285714,135088759.52141672,False,1.0,0.6626571376294749,-0.5936654896864682,-1.0,2.297095245678332,0.021613336935584496,0.05608750246093827,2293.0,-0.971049338042998,0.33448748192242084,0.5272732893410373,3784.0,866.5,0.010974215778572865,0.03435056208550143,1906.0,0.010974215778572865,0.09385409130849102,False,1906.0
P01009 (gene SERPINA1):  Alpha-1-antitrypsin,SERPINA1,58,0.9666666666666667,523796041.3333333,665075178.5475616,False,17,0.8095238095238095,300027904.0,682446119.6305909,False,1.0,1.7458244194957664,0.8039084719913104,1.0,2.3665526464820994,0.017954620457140826,0.049637287139621025,2155.0,1.301614310280202,0.19683117240165696,0.41542028229872463,2824.0,968.0,0.00027480503602808566,0.0047279114787194005,333.0,0.00027480503602808566,0.00821386733314314,True,333.0
P29401 (gene TKT):  Transketolase,TKT,56,0.9333333333333333,37787079.416666664,59701177.764401056,False,12,0.5714285714285714,12455391.442857143,23667976.34754089,False,1.0,3.03379300361801,1.601122653534375,1.0,3.8886239533809404,0.00010081417910268087,0.0019033461788816267,313.5,1.869537038164922,0.06525338249109104,0.3367661591192467,1156.0,920.0,0.0017697449755598128,0.01060816934353117,995.0,0.00010081417910268087,0.005040145747429559,True,313.5
O43707 (gene ACTN4):  Alpha-actinin-4,ACTN4,59,0.9833333333333333,27902521.698333334,66211530.21208784,False,13,0.6190476190476191,21091154.0,50013452.17781889,False,1.0,1.3229490286938312,0.4037574777411266,1.0,4.571749430704054,4.836690989724642e-06,0.0004654144910435034,60.5,0.42505522064705226,0.6719519653436732,0.7857439092983838,5102.0,916.0,0.002077496477894847,0.011474913068068256,1063.0,4.836690989724642e-06,0.0012730455196189945,True,60.5
